licence_num,facility_name,address,address2,city,province,postal_code,phone,licensee_name,services,assess_date,action_date,action_comment
,Toronto Vascular Ultrasound,217 Davenport Road,,Toronto,ON,M5R1J3,416-929-9032,Toronto Vascular Ultrasound Inc. , Vascular Ultrasound,2020-12-08,2021-04-21,Met standards.
,123 Edward Street Diagnostic Imaging Ltd.,123 Edward Street,Suite 600,Toronto,ON,M5G1E2,416-781-2050,2642170 Ontario Limited ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2021-03-11,2021-06-01,Met standards.
,Charm Ultrasound,101 Westmore Drive,Suite 203,Toronto,ON,M9V3Y6,416-748-2800,Charm Ultrasound Inc. ," Mobile General Ultrasound, Mobile Vascular Ultrasound",2022-04-28,2022-10-06,Met standards.
,Medcan Health Management Inc.,150 York Street,Suite 1500,Toronto,ON,M5H3S5,416-350-0590,Medcan Health Management Inc. , Radiography,2022-09-09,2022-11-25,Met standards.
,Pape Avenue X-Ray Ltd.,757 Pape Avenue,,Toronto,ON,M4K3T1,416-461-9848,Pape Avenue X-Ray Ltd. , Radiography,2022-06-20,2022-09-09,Met standards.
,Bloor Christie Diagnostic Services,716 Bloor Street West,,Toronto,ON,M6G1L4,416-588-5937,J.B.V. Management Services Ltd. ," Bone Mineral DXA, Radiography, General Ultrasound",2022-09-12,2022-12-09,Met standards.
,Albany Medical Clinic,807 Broadview Avenue,,Toronto,ON,M4K2P8,416-461-9471,Albany Medical Clinic , General Ultrasound,2022-06-02,2022-09-02,Met standards.
,SLEEP CARE Solutions Yonge & Davisville,1835 Yonge Street,Suite 303,Toronto,ON,M4S1X8,416-792-9436,Mr. Udaya Shankar Padmakaran , Sleep Studies,2022-09-24,2022-12-07,Met standards.
,Hannam Fertility Centre,160 Bloor Street East,Suite 1500,Toronto,ON,M4W1B9,416-595-1521,Thomas Hannam Medicine Professional Corporation , General Ultrasound,2022-06-07,2022-08-19,Met standards.
,Albany Diagnostic Radiology,807 Broadview Avenue,,Toronto,ON,M4K2P8,416-461-9471,Albany Medical Clinic ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, Vascular Ultrasound, Pulmonary Function B - Lung Volumes & Diffusion",2022-05-26,2022-09-08,Met standards.
,The Toronto Asthma Centre,399 Bathurst Street,"Room 7-451, New East Wing",Toronto,ON,M5T2S8,416-603-5377,Asthma & Airway Centre ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function C - Escalated Testing, Pulmonary Function - Other Fee Codes",2022-06-17,2022-08-08,Met standards.
,(Don Mills) Insight Diagnostic Imaging,658 Danforth Avenue,Suite 101,Toronto,ON,M4J5B9,416-465-5735,Insight Diagnostic Imaging Corp. , Obs/Gyn Ultrasound,2022-11-03,2023-02-03,Met standards.
,Spadina Bloor Ultrasound,720 Spadina Avenue,Suite 200,Toronto,ON,M5S2T9,416-519-9699,Insight Diagnostic Imaging Corp. , General Ultrasound,2022-11-03,2023-02-08,Met standards.
,Ophthalmology Associates SHSC,2075 Bayview Avenue,"Suite M1, Room 202C",Toronto,ON,M4N3M5,416-480-4763,Ophthalmology Associates SHSC , Ophthalmic Ultrasound,2022-10-14,2022-11-29,Met standards.
,Toronto Ultrasound Imaging,180 Bloor Street West,Suite 204,Toronto,ON,M5S2V6,416-921-1333,2525102 Ontario Ltd. , General Ultrasound,2022-11-21,2023-01-27,Met standards.
,New Dufferin Diagnostic Imaging,150 Eglinton Avenue East,Suite 301,Toronto,ON,M4P1E8,416-781-2050,2456462 Ontario Limited ," Fluoroscopy, Radiography, General Ultrasound, Vascular Ultrasound, Bone Mineral DXA",2023-01-31,2023-04-20,Met standards.
,Riverside Cardiology & Diagnostic Imaging,5 Junction Road,,Toronto,ON,M6N1B5,416-766-1162,2259351 Ontario Inc. ," Bone Mineral DXA, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-03-07,2023-05-08,Met standards.
,Respiratory Services Limited,1849 Yonge Street,LF20,Toronto,ON,M4S1Y2,416-920-3737,Respiratory Services Limited ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function C - Escalated Testing, Pulmonary Function - Other Fee Codes",2023-02-24,2023-04-21,Met standards.
,(Don Mills) Insight Diagnostic Imaging,720 Spadina Avenue,Suite 205,Toronto,ON,M5S2T9,416-519-9699,Insight Diagnostic Imaging Corp. , Radiography,2023-04-17,2023-05-30,Met standards.
,Kensington Diagnostic Imaging Centre,340 College Street,Suite 410,Toronto,ON,M5T3A9,416-962-3202,The Kensington Eye Institute ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2023-02-17,2023-04-28,Met standards.
,Bay Cardiac Diagnostic Inc.,790 Bay Street,Suite 312,Toronto,ON,M5G1N8,416-591-1333,Bay Cardiac Diagnostic Inc. ," Bone Mineral DXA, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2023-03-09,2023-09-11,Met standards with some recommendations made for improvement.
,Toronto Sleep & Pulmonary Centre,123 Edward Street,Suite 1011,Toronto,ON,M5G1E2,416-813-2277,Mr. Udaya Shankar Padmakaran ," Sleep Studies, Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2023-03-02,2023-05-05,Met standards.
,Metro Radiology (Glencairn),150 Eglinton Avenue East,5th Floor,Toronto,ON,M4P1E8,416-781-2050,2456462 Ontario Limited ," Radiography, General Ultrasound",2023-06-12,2023-09-13,Met standards.
,Inspiration Research Limited,340 College Street,Suite 315,Toronto,ON,M5T3A9,416-944-9602,Inspiration Research Limited ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2023-07-28,2023-10-04,Met standards.
,Dr. John Christakis,245 Danforth Avenue,Suite 200,Toronto,ON,M4K1N2,416-462-0393,Dr. John T. Christakis , Ophthalmic Ultrasound,2023-09-17,2023-12-14,Met standards.
,True North Imaging - Evolve,655 Bay Street,11th Floor,Toronto,ON,M5G2K4,905-707-1777,Clearview Diagnostic Imaging Inc. ," Obs/Gyn Ultrasound, General Ultrasound",2023-07-26,2023-11-06,Met standards.
,Coxwell Ultrasound,1577 Danforth Avenue,Unit 7,Toronto,ON,M4C1H7,416-465-4679,Insight Diagnostic Imaging Corp. ," General Ultrasound, Vascular Ultrasound",2024-01-18,2024-03-01,Met standards.
,Central Toronto Diagnostic Imaging,658 Danforth Avenue,Suite 101,Toronto,ON,M4J5B9,416-465-5735,Insight Diagnostic Imaging Corp. ," Bone Mineral DXA, Mammography, Radiography",2023-08-10,2023-11-03,Met standards.
,Central Toronto Diagnostic Imaging,658 Danforth Avenue,Suite 101,Toronto,ON,M4J5B9,416-465-5735,Insight Diagnostic Imaging Corp. ," Mammography, Radiography, General Ultrasound",2023-08-10,2023-11-06,Met standards.
,Ontario Imaging Diagnostics (OID) - Yonge,1366 Yonge Street,Suite 101,Toronto,ON,M4T3A7,416-975-8951,1000350689 Ontario Inc. ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2025-11-13,2026-02-17,Met standards.
,City X-Ray Services,1980 St. Clair Avenue West,Unit 207,Toronto,ON,M6N0A3,416-534-8487,1000384458 Ontario Inc. ," Bone Mineral DXA, Fluoroscopy, Radiography, General Ultrasound",2024-02-05,2024-04-24,Met standards with some recommendations made for improvement.
,Yonge & Eglinton Diagnostic Imaging,2401 Yonge Street,LL11,Toronto,ON,M4P3H1,416-485-5793,Specialty Medical Partners (HVI) Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2024-01-26,2024-03-04,Met standards.
,Best Care Imaging,1670 Dufferin Street,Unit B-1,Toronto,ON,M6H3M2,416-531-1123,Sunlark Imaging Inc. ," Radiography, General Ultrasound",2024-02-09,2024-04-12,Met standards.
,Bochner Eye Institute,40 Prince Arthur Avenue,,Toronto,ON,M5R1A9,416-972-1100,Dr. Raymond M. Stein , Ophthalmic Ultrasound,2024-01-05,2024-04-09,Met standards.
,Ontario Diagnostic Centre (ODC) - Roncesvalles,27 Roncesvalles Avenue,Suite 105,Toronto,ON,M6R3B2,416-533-7078,1000252112 Ontario Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound",2024-02-01,2024-03-28,Met standards.
,Toronto Sleep Clinic,1835 Yonge Street,Unit 303,Toronto,ON,M4S1X8,416-792-9436,Sleep Medicine Health Network Inc. , Sleep Studies,2025-04-08,2025-06-04,Met standards.
,Rosedale Medical Imaging,600 Sherbourne Street,Suites B1/B7 and B6,Toronto,ON,M4X1W4,416-968-1360,2711518 Ontario Ltd. ," General Ultrasound, Vascular Ultrasound, Bone Mineral DXA, Mammography, Radiography",2025-01-16,2025-03-05,Met standards.
,Margolin Medicine Professional Corporation,801 Eglinton Avenue West,Suite 301,Toronto,ON,M5N1E3,647-748-8377,Margolin Medicine Professional Corporation , Ophthalmic Ultrasound,2023-10-11,2023-10-11,Facility has not been assessed during current ownership.
,Thorncliffe Radiology,45 Overlea Boulevard,Suite B6,Toronto,ON,M4H1C3,416-696-9836,1000609517 Ontario Inc. , General Ultrasound,2025-04-01,2025-04-01,Facility has not been assessed during current ownership.
,Create Fertility Centre,790 Bay Street,Suite 1100,Toronto,ON,M5G1N8,416-231-4100,Create Fertility Clinic Inc. , General Ultrasound,2025-04-01,2025-04-01,Facility has not been assessed during current ownership.
,True North Imaging - Pollin,2360 Yonge Street,2nd Floor,Toronto,ON,M4P0E2,905-707-1777,Clearview Diagnostic Imaging Inc. , General Ultrasound,2025-02-25,2025-05-29,Met standards.
,Thorncliffe Radiology,45 Overlea Boulevard,Suite B6,Toronto,ON,M4H1C3,416-696-9836,1000609517 Ontario Inc. ," Bone Mineral DXA, Radiography",2024-05-15,2024-05-15,Facility has not been assessed during current ownership.
,Bay Street Ultrasound,655 Bay Street,18th Floor,Toronto,ON,M5G2K4,416-597-1933,Clearview Diagnostic Imaging Inc. ," General Ultrasound, Vascular Ultrasound",2024-10-09,2025-01-14,Met standards.
,Midtown Diagnostic Imaging,1849 Yonge Street,"Lower Level, Room 6",Toronto,ON,M4S1Y2,416-485-9155,Clearview Diagnostic Imaging Inc. ," Mammography, Radiography, General Ultrasound, Bone Mineral DXA",2025-04-01,2025-04-01,Facility has not been assessed during current ownership.
,College Diagnostic Imaging,474 College Street,Suite B4,Toronto,ON,M6G1A4,416-925-3823,Specialty Medical Partners (HVI) Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2024-11-12,2025-03-05,Met standards.
,St. Clair Diagnostic Imaging,1223 St. Clair Avenue West,Suite 102,Toronto,ON,M6E1B5,416-656-6034,Specialty Medical Partners (HVI) Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2024-11-19,2025-02-21,Met standards.
,Toronto Cardiac Clinic,829 St. Clair Avenue West,,Toronto,ON,M6C1C2,416-833-3783,Specialty Medical Partners (TCC) Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2024-05-01,2024-05-01,Facility has not been assessed during current ownership.
,West End Radiological Laboratories Limited,2425 Bloor Street West,Suite 103,Toronto,ON,M6S4W4,416-763-4331,West End Radiological Laboratories Limited ," Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2024-10-22,2025-03-14,Met standards.
,ReGen Scientific Inc.,181 University Avenue,Suite 1605,Toronto,ON,M5H3M7,416-350-3608,ReGen Scientific Inc. ," Radiography, General Ultrasound",2024-11-05,2025-02-07,Met standards.
,Don Valley X-Ray and Ultrasound,855 Broadview Avenue,Basement and Unit 305,Toronto,ON,M4K3Z1,416-461-9891,KCB Imaging Inc. ," Bone Mineral DXA, Radiography, General Ultrasound",2024-11-19,2025-02-20,Met standards.
,Centre for Sleep and Chronobiology Inc.,295 College Street,Suite 301,Toronto,ON,M5T1S2,416-603-9531,Centre for Sleep and Chronobiology Inc. , Sleep Studies,2024-11-26,2025-03-18,Met standards.
,Twig Fertility,313 Eglinton Avenue West,,Toronto,ON,M5N1A1, ,Clearview Diagnostic Imaging Inc. , Obs/Gyn Ultrasound,2025-11-07,2025-12-05,Met standards.
,Clairhurst X-ray and Ultrasound,1466 Bathurst Street,Basement,Toronto,ON,M5R3S3,416-792-0083,2387755 Ontario Inc. ," Radiography, General Ultrasound",2025-08-22,2025-10-23,Met standards.
,Kainam Pulmonary Investigation,600 Sherbourne Street,Suite 402,Toronto,ON,M4X1W4,416-975-1613,Dr. Charles K.N. Chan ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2025-09-18,2026-01-21,Met standards.
,Clarity Eye Institute,2238 Dundas Street West,Suite 308,Toronto,ON,M6R3A9,416-663-3937,Clarity Eye Institute Inc. , Ophthalmic Ultrasound,2025-05-26,2025-05-26,Facility has not been assessed during current ownership.
,Meridia Medical,1881 Yonge Street,Suite 501,Toronto,ON,M4S3C4,416-484-8383,Meridia Medical Inc. , General Ultrasound,2025-10-21,2026-02-12,Met standards.
,Toronto Vascular Centre Inc.,1881 Yonge Street,Suite 402,Toronto,ON,M4S3C4,416-966-3886,Toronto Vascular Centre Inc. ," General Ultrasound, Vascular Ultrasound",2025-08-19,2025-10-27,Met standards.
,Sleep and Alertness Clinic,790 Bay Street,Suite 800,Toronto,ON,M5G1N8,416-837-8181,Straight Sleep Inc. , Sleep Studies,2025-04-22,2025-08-01,Met standards.
,Dragon City X-Ray & Ultrasound,280 Spadina Avenue,Suite 306,Toronto,ON,M5T3A5,416-603-1197,1900476 Ontario Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2025-02-06,2025-04-02,Met standards.
,True North Imaging - Twig Path,130 King Street West,Concourse Level,Toronto,ON,M5X2A2,905-707-1777,Clearview Diagnostic Imaging Inc. , General Ultrasound,2025-02-25,2025-05-26,Met standards.
,WELL Health Diagnostic Centres,1849 Yonge Street,Suite 218,Toronto,ON,M4S1Y2,416-928-3467,MyHealth Partners Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-01-09,2025-04-09,Met standards.
,Toronto Cardiovascular Ultrasound,1033 Bay Street,Unit 311,Toronto,ON,M5S3A5,416-551-1269,2639003 Ontario Inc. , Vascular Ultrasound,2025-02-06,2025-05-26,Met standards.
,Annex Medical Imaging,800 Bathurst Street,Suite 302,Toronto,ON,M5R3M8,416-531-1128,2639451 Ontario Ltd. ," General Ultrasound, Vascular Ultrasound",2025-01-21,2025-05-08,Met standards.
,Kensington Vision & Research Centre,340 College Street,Suite 501,Toronto,ON,M5T3A9,416-520-7130,The Kensington Eye Institute , Ophthalmic Ultrasound,2025-04-15,2025-07-24,Met standards.
,Metro Central Ultrasound,27 Queen Street East,Suite 101,Toronto,ON,M5C2M6,416-777-2186,1000695826 Ontario Inc. ," General Ultrasound, Vascular Ultrasound",2025-08-18,2025-08-18,Facility has not been assessed during current ownership.
,KMH Cardiology Centres Inc.,236 Avenue Road,,Toronto,ON,M5R2J4,905-855-1860,KMH Cardiology Centres Inc. ," Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-09-23,2025-12-04,Met standards.
,Catalyst Surgical,325 Eglinton Avenue East,,Toronto,ON,M4P1L7,647-255-7525,Bryan Tak-Chee Chung Medical Professional Corporation , Plastic Surgery,2025-04-01,2025-04-01,Facility has not been assessed during current ownership.
,Clarity Eye Institute,1849 Yonge Street,Suite 705,Toronto,ON,M4S1Y2,416-663-3937,Clarity Eye Institute Inc. , Ophthalmic Ultrasound,2025-09-19,2026-02-12,Met standards.
,WELL Health Diagnostic Centres,790 Bay Street,Suite 716,Toronto,ON,M5G1N8,416-260-9382,MyHealth Partners Inc. ," Radiography, General Ultrasound",2025-11-11,2026-01-27,Met standards.
,Annex Medical Imaging,800 Bathurst Street,Suite 304,Toronto,ON,M5R3M8,416-531-1128,2639451 Ontario Ltd. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography",2025-10-17,2026-01-07,Met standards.
,East Toronto Vascular Clinic,1805 Queen Street East,Units 1 - 3,Toronto,ON,M4L3Y3,416-691-2030,Andrew D. Dueck Medicine Professional Corporation ," Pulmonary Function A - Pure Screening, Vascular Ultrasound, General Ultrasound",2025-10-07,2026-03-19,Met standards.
,RR Imaging,234 Eglinton Avenue East,Suite 207,Toronto,ON,M4P1K5,416-485-9471,2548877 Ontario Inc. ," Radiography, General Ultrasound",2025-10-30,2026-02-02,Met standards.
,Forest Hill Medical Imaging,491 Eglinton Avenue West,Suite 302,Toronto,ON,M5N1A8,416-640-1103,Forest Hill Medical Imaging Inc. ," Fluoroscopy, Radiography, General Ultrasound",2025-11-06,2026-01-16,Met standards.
,Ontario Imaging Diagnostics (OID) - Danforth & Main,2494 Danforth Avenue,Unit 3A,Toronto,ON,M4C1K9,416-691-5071,2785063 Ontario Inc. ," Mammography, Radiography, General Ultrasound",2025-11-20,2026-01-15,Met standards.
,Bloor Street East Ultrasound,160 Bloor Street East,15th Floor,Toronto,ON,M4W1B9,416-572-9392,Clearview Diagnostic Imaging Inc. , General Ultrasound,2025-11-07,2025-12-05,Met standards.
,Toronto Endoscopy Clinic,790 Bay Street,Unit 700,Toronto,ON,M5G1N8,416-551-6006,Toronto Endoscopy Clinic Inc. , GI-Endoscopy,2025-11-20,2025-10-31,Pre-licensing inspection passed and approved for operation
,The Toronto Centre for Medical Imaging,150 York Street,Suite 910,Toronto,ON,M5H3S5,416-368-8488,1001228178 Ontario Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound",2025-07-08,2025-07-08,Facility has not been assessed during current ownership.
,X-Ray Associates,955 Major Mackenzie Drive,Suite 102,Vaughan,ON,L6A4P9,289-553-6336,X-Ray Associates Inc. ," Radiography, General Ultrasound, Vascular Ultrasound, Bone Mineral DXA, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2025-01-28,2025-05-15,Met standards.
,Vaughan Pulmonary Function,3865 Major Mackenzie Drive,Unit 106,Vaughan,ON,L4H4P4,289-217-6211,Dr. Vikram R. Comondore Medicine Professional Corporation ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion",2025-11-07,2026-01-28,Met standards.
,Waterloo Nuclear & Radiography,380 King Street North,,Waterloo,ON,N2J2Z3,519-206-0707,2537431 Ontario Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2020-08-27,2021-02-12,Met standards.
,True North Imaging,430 The Boardwalk,,Waterloo,ON,N2T0C1,519-576-8760,Clearview Diagnostic Imaging Inc. ," Mobile General Ultrasound, Mobile Vascular Ultrasound",2022-04-11,2022-06-29,Met standards.
,True North Imaging - Belmont,430 The Boardwalk,Suite 108,Waterloo,ON,N2L0C1,519-576-8760,Clearview Diagnostic Imaging Inc. , General Ultrasound,2023-11-07,2024-01-09,Met standards.
,WNR,380 King Street North,Unit 4,Waterloo,ON,N2J2Z3,519-206-0707,2537431 Ontario Inc. ," Ophthalmic Ultrasound, Nuclear Medicine - In Vitro, Nuclear Medicine - In Vivo - SPECT, Nuclear Medicine - In Vivo - General",2021-05-01,2021-05-01,Facility has not been assessed during current ownership.
,Cosmetic Surgery Clinic of Waterloo,50 Albert Street,,Waterloo,ON,N2L3S2,519-746-1132,Dr. Robert Shenker Medicine Professional Corporation , Plastic Surgery,2023-10-09,2023-12-05,Met standards.
,K W Cardio Pulmonary Services,435 The Boardwalk,Suite 303,Waterloo,ON,N2T0C2,519-741-5252,K W Cardio Pulmonary Services Inc. ," Pulmonary Function A - Pure Screening, Pulmonary Function B - Lung Volumes & Diffusion, Pulmonary Function - Other Fee Codes",2024-02-06,2024-04-05,Met standards.
,TRS Waterloo Sleep Institute,435 The Boardwalk,Suite 108,Waterloo,ON,N2T0C2,519-886-5029,1000882243 Ontario Inc. , Sleep Studies,2024-10-30,2024-10-30,Facility has not been assessed during current ownership.
,Mobile Ultrasound,65 University Avenue East,,Waterloo,ON,N2J2V9,519-746-3457,Clearview Diagnostic Imaging Inc. , Mobile General Ultrasound,2025-04-03,2025-07-21,Met standards.
,True North Imaging,65 University Avenue East,Unit 17,Waterloo,ON,N2J2V9,519-746-3457,Clearview Diagnostic Imaging Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2024-11-15,2024-11-15,Facility has not been assessed during current ownership.
,New Karma Ultrasound,435 The Boardwalk,Unit 503,Waterloo,ON,N2T0C2,519-570-3660,Ivycroft Enterprises Inc. , General Ultrasound,2025-07-21,2025-10-17,Met standards.
,Waterloo X-Ray,826 King Street North,Unit 18,Waterloo,ON,N2J4G8,519-206-7777,2537431 Ontario Inc. ," Ophthalmic Ultrasound, Vascular Ultrasound",2025-03-24,2025-03-24,Facility has not been assessed during current ownership.
,True North Imaging,430 The Boardwalk,Suite 108,Waterloo,ON,N2T0C1,519-576-8760,Clearview Diagnostic Imaging Inc. ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2026-02-04,2026-04-10,Met standards.
,Revive Fertility Clinic,131 Union Street East,Unit 105,Waterloo,ON,N2J1C4,519-939-2207,K. Murad Medicine Professional Corporation , Obs/Gyn Ultrasound,2025-08-18,2025-08-18,Facility has not been assessed during current ownership.
,WELL Health Diagnostic Centres,220 Dundas Street West,Suite 104,Whitby,ON,L1N8M7,905-430-3277,MyHealth Partners Inc. ," Bone Mineral DXA, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT, Vascular Ultrasound",2017-08-24,2018-03-15,Met standards.
,Impexxus Medical Imaging,1615 Dundas Street East,,Whitby,ON,L1N2L1,905-576-9729,Impexxus Medical Imaging Inc. ," Bone Mineral DXA, Fluoroscopy, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2021-06-29,2021-09-27,Met standards.
,WELL Health Diagnostic Centres,1615 Dundas Street East,"Unit 17X, The Whitby Mall",Whitby,ON,L1N2L1,905-430-3277,MyHealth Partners Inc. ," Fluoroscopy, Radiography, General Ultrasound, Nuclear Medicine - In Vivo - General, Nuclear Medicine - In Vivo - SPECT",2022-09-14,2023-01-13,Met standards.
,Whitby Centre For Sleep Disorders,320 Byron Street South,,Whitby,ON,L1N4P8,905-668-5590,Whitby Centre For Sleep Disorders Inc. , Sleep Studies,2022-07-24,2022-10-12,Met standards.
,Whitby Health Centre,198 Des Newman Boulevard,,Whitby,ON,L1P0P9,905-721-3588,Clinic Management & Technical Services ," Bone Mineral DXA, Mammography, Radiography, General Ultrasound, Vascular Ultrasound",2022-11-22,2023-03-28,Met standards.
,Whitby Cardiovascular,3020 Brock Street North,,Whitby,ON,L1R3J7,905-666-9504,Whitby Diagnostics Centre Limited ," Vascular Ultrasound, Pulmonary Function A - Pure Screening, Pulmonary Function C - Escalated Testing, Pulmonary Function - Other Fee Codes",2023-02-21,2023-04-21,Met standards.
,Whitby Medical X-Ray and Ultrasound,220 Dundas Street West,Suite 402,Whitby,ON,L1N8M7,905-430-1781,J.B.V. Management Services Ltd. ," Bone Mineral DXA, Radiography, General Ultrasound, Vascular Ultrasound",2023-06-07,2023-08-30,Met standards.
,Whitby X-Ray & Ultrasound Imaging,3050 Garden Street,Unit 109,Whitby,ON,L1R2G7,905-493-3775,North American Diagnostic Network Services Inc. ," General Ultrasound, Vascular Ultrasound, Radiography",2023-05-15,2023-06-26,Met standards.
,West Whitby Sleep Clinic,198 Des Newman Boulevard,,Whitby,ON,L1P0P9,905-721-4052,Clinic Management & Technical Services , Sleep Studies,2025-04-04,2025-06-05,Met standards.
,GNMI X-Ray & Ultrasound,200 Brock Street North,,Whitby,ON,L1N4H5,905-666-4206,Greater Niagara Medical Imaging Inc. ," Mammography, Radiography, General Ultrasound",2024-02-06,2024-04-12,Met standards.
,Whitby Health Center,3800 Brock Street North,,Whitby,ON,L1R3A5,905-444-9292,2865842 Ontario Inc. ," General Ultrasound, Vascular Ultrasound, Mammography, Radiography",2023-09-25,2023-09-25,Facility has not been assessed during current ownership.
,Durham Medical Centre,605 Brock Street North,Units 1 and 2,Whitby,ON,L1N8R2,905-493-9447,Hafeez Health Services Inc. ," General Ultrasound, Vascular Ultrasound, Mammography",2024-10-18,2025-01-28,Met standards.
,North Whitby X-Ray and Ultrasound,5959 Anderson Street,Suite L6,Whitby,ON,L1M2E9,905-655-8313,North Whitby X-Ray & Ultrasound Inc. ," General Ultrasound, Vascular Ultrasound, Bone Mineral DXA, Radiography",2025-09-23,2026-02-09,Met standards.
,Whitby Health Center,3800 Brock Street North,2nd Floor,Whitby,ON,L1R3A5,905-444-9292,2865842 Ontario Inc. , Ophthalmic Ultrasound,2025-11-17,2025-11-17,Facility has not been assessed during current ownership.
