Permit Number,Permit Application Type,Date Issued,Building Use,Work Class,Cost of Construction,Number of Units,Number of Stories,Stats Can # of Units Lost,Location,LocType,Subdivision Code,Name,Contact Type Description,Construction Type
PRSF202403136,Single/Semi-Detached Dwelling 1-2 units,2025-01-16 00:00:00,Residential,New construction,400000,2,2,,3101 GREEN TURTLE ROAD,Address,The Towns,PACESETTER NEW HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202500032,Single/Semi-Detached Dwelling 1-2 units,2025-01-16 00:00:00,Residential,New construction,320100,2,2,,"2913 WELBY WAY, REGINA, SK S4V4A4",Address,The Towns,CITY OF REGINA,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRSS202402653,Secondary Suite,2025-01-16 00:00:00,Residential,Addition to existing building commerical & residential,24000,1,0,,"8838 WHEAT CRESCENT, REGINA, SK *",Address,Westerra,Resasca Builder,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202402954,Secondary Suite,2025-01-16 00:00:00,Residential,Addition to existing building commerical & residential,26000,1,0,,"3209 GREEN TURTLE ROAD, REGINA, SK *",Address,The Towns,Resasca Builder,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRAH202500025,Alternative Family Care Home,2025-01-17 00:00:00,Residential,Alteration,1500,0,0,,"3857 GREEN MOSS BAY, REGINA, SK S4V1P7",Address,The Greens on Gardiner,CREATIVE OPTIONS REGINA INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500113,Basement Development,2025-01-17 00:00:00,Residential,Alteration and improvements,80000,0,0,,"4205 E ELDERBERRY CRESCENT, REGINA, SK S4V3V3",Address,The Creeks,VARSITY HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDK202500109,Deck/Sunroom,2025-01-17 00:00:00,Residential,Alteration and improvements,3200,0,0,,"8685 WHEAT CRESCENT, REGINA, SK *",Address,Westerra,PACESETTER NEW HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRGA202402547,Garage/Carport,2025-01-17 00:00:00,Residential,Garage/Carport/Accessory Structure,16271,0,1,,"3245 CHUKA BOULEVARD, REGINA, SK S4V3S5",Address,The Towns,NU-FAB BUILDING PRODUCTS,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRMH202500129,Plumbing,2025-01-17 00:00:00,Residential,Mechanical,5000,0,0,,"3409 29TH AVENUE, REGINA, SK S4S2P4",Address,Parliament Place,Creek Construction - Reza Shirazi,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRNR202402703,New Commercial,2025-01-17 00:00:00,Commercial,Foundation (new),300000,0,0,,3750 CHUKA BOULEVARD,Address,The Greens on Gardiner,102049625 SASKATCHEWAN LTD.,Property Owner,"540-Restaurant, bar, tavern, night club, diner, donut shop"
PRRN202401742,Renovation/Alteration,2025-01-17 00:00:00,Commercial,Alteration and improvements,283000,0,0,,"2121 ROSE STREET, REGINA, SK S4P3Y1",Address,Old 33,SASKATCHEWAN HOUSING CORPORATION,Property Owner,315-Apartment - Condominium
PRRN202500048,Renovation/Alteration,2025-01-17 00:00:00,Commercial,Alteration and improvements,450000,0,0,,"2275 ALBERT STREET, REGINA, SK S4P2V5",Address,Old 33,GRAVES INVESTMENTS LTD.,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance compan"
PRSS202403097,Secondary Suite,2025-01-17 00:00:00,Residential,Addition,41500,1,0,,"5440 E NICHOLSON AVENUE, REGINA, SK *",Address,The Towns,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202500042,Single/Semi-Detached Dwelling 1-2 units,2025-01-19 00:00:00,Residential,New construction,300000,1,2,,"5234 E GREEN CRESCENT, REGINA, SK S4V3S9",Address,The Greens on Gardiner,CRAWFORD HOMES (1991) LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202402868,Demolition,2025-01-20 00:00:00,Residential,Demolition,5000,0,0,1,"2122 MCARA STREET, REGINA, SK S4N2V8",Address,Broders Annex,MARILU MANAGEMENT INC.,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202500064,Demolition,2025-01-20 00:00:00,Institutional,Demolition,10000,0,0,0,"3310 LAKEVIEW AVENUE, REGINA, SK **",Address,Lakeview South,CITY OF REGINA,Property Owner,"562-Outdoor recreational building, golf buildings, ski hut, swimming pool"
PRRN202402169,Renovation/Alteration,2025-01-20 00:00:00,Residential,Alteration and improvements,25000,0,0,,"5073 SNOWBIRDS CRESCENT, REGINA, SK S4W0H5",Address,Harbour Landing,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402970,Renovation/Alteration,2025-01-20 00:00:00,Residential,Alteration,7181,0,0,,"211 MCKEE CRESCENT, REGINA, SK S4S5S4",Address,Whitmore Park,The Genuine Builder - Janessa Probe,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500126,Basement Development,2025-01-21 00:00:00,Residential,Alteration and improvements,20000,0,0,,"2108 MONTAGUE STREET, REGINA, SK S4T3J9",Address,Old 33,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDK202402109,Deck/Sunroom,2025-01-21 00:00:00,Residential,Alteration and improvements,35000,0,0,,"6735 MAPLECREST PLACE, REGINA, SK S4X4C3",Address,Maple Ridge,REGINA WINDOWS & EXTERIORS,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500131,Foundation Repair,2025-01-21 00:00:00,Residential,Alteration and improvements,45500,0,0,,"6 ROGERS PLACE, REGINA, SK S4S6S1",Address,Albert Park,JS GROUP OF COMPANIES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202403082,Renovation/Alteration,2025-01-21 00:00:00,Residential,Alteration and improvements,6000,0,0,,"3877 GOLDFINCH WAY, REGINA, SK S4V1S3",Address,The Creeks,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202500077,Renovation/Alteration,2025-01-21 00:00:00,Residential,Alteration and improvements,20000,0,0,,"70 KENNEDY CRESCENT, REGINA, SK S4R6G4",Address,Walsh Acres,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202403150,Renovation/Alteration,2025-01-22 00:00:00,Commercial,Alteration and improvements,24500,0,0,,"2055 ALBERT STREET, REGINA, SK S4P3G8",Address,Old 33,CREDIT UNION CENTRAL OF SASKATCHEWAN,Property Owner,"520-Office building; consultant’s office, doctor’s office, insurance compan"
PRSF202403055,Single/Semi-Detached Dwelling 1-2 units,2025-01-22 00:00:00,Residential,New construction,450000,1,2,,"5229 E GREEN QUARTZ BAY, REGINA, SK S4V3T1",Address,The Greens on Gardiner,MINIRA PROPERTIES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202500058,Single/Semi-Detached Dwelling 1-2 units,2025-01-22 00:00:00,Residential,New construction,400000,1,2,,"8746 WHEAT CRESCENT, REGINA, SK *",Address,Westerra,PACESETTER NEW HOMES LTD.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSF202500074,Single/Semi-Detached Dwelling 1-2 units,2025-01-22 00:00:00,Residential,New construction,458000,4,2,,"2901 NARCISSE DRIVE, REGINA, SK S4X0M6",Address,Hawkstone,NORTH RIDGE DEVELOPMENT CORPORATION,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRSF202500076,Single/Semi-Detached Dwelling 1-2 units,2025-01-22 00:00:00,Residential,New construction,458000,4,2,,"2849 NARCISSE DRIVE, REGINA, SK S4X0M6",Address,Hawkstone,NORTH RIDGE DEVELOPMENT CORPORATION,Contractor,"210-Semi-Detached or Double House, single attached home"
PRSF202500095,Single/Semi-Detached Dwelling 1-2 units,2025-01-22 00:00:00,Residential,New construction,357720,2,2,,"2973 WELBY WAY, REGINA, SK S4V4A2",Address,The Towns,Rohit Communities Inc.,Contractor,"210-Semi-Detached or Double House, single attached home"
PRBS202500114,Basement Development,2025-01-23 00:00:00,Residential,Alteration and improvements,25000,0,,,"3296 FAVEL DRIVE, REGINA, SK *",Address,The Towns,,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500084,Foundation Repair,2025-01-23 00:00:00,Residential,Alteration and improvements,3000,0,,,"55 SNEATH CRESCENT, REGINA, SK S4R5R1",Address,Normanview,Regina Housing Leveling,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202403071,Renovation/Alteration,2025-01-23 00:00:00,Commercial,Alteration and improvements,925000,0,1,,"1700 PARK STREET, REGINA, SK S4N6B2",Address,Tuxedo Park,BRIDON PROJECT MANAGEMENT,Contractor,"460-Storage building; warehouse (for storage purposes only), industrial mal"
PRSF202403112,Single/Semi-Detached Dwelling 1-2 units,2025-01-23 00:00:00,Residential,New construction,990000,1,2,,"4224 E ELDERBERRY CRESCENT, REGINA, SK S4V3V3",Address,The Creeks,Gilroy Homes Inc.,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202402660,Demolition,2025-01-24 00:00:00,Residential,Demolition,22686.62,0,,1,"719 ROBINSON STREET, REGINA, SK S4T2M2",Address,Washington Park,First Choice Excavation & Demolition,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202402661,Demolition,2025-01-24 00:00:00,Residential,Demolition,43865.49,0,,1,"879 RETALLACK STREET, REGINA, SK S4T2G9",Address,Washington Park,First Choice Excavation & Demolition,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202500112,Demolition,2025-01-24 00:00:00,Residential,Demolition,0,0,,1,"2350 MCINTYRE STREET, REGINA, SK S4P2S2",Address,Old 33,S & T Property Maintenance - Sean Thomson,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDK202402801,Deck/Sunroom,2025-01-24 00:00:00,Residential,Addition to existing building commercial & residential,14000,0,,,"8109 BARLEY CRESCENT, REGINA, SK S4Y0E7",Address,Westerra,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRMH202500176,Plumbing,2025-01-24 00:00:00,Residential,Mechanical,4000,0,0,,"3540 REGINA AVENUE, REGINA, SK S4S0H4",Address,Normandy Heights,MARSHALL PLUMBING & HEATING,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202403088,Renovation/Alteration,2025-01-24 00:00:00,Commercial,Alteration and improvements,38740,0,,,"2025 HESELTINE ROAD, REGINA, SK S4V2Z4",Address,River Bend,REGINA RETIREMENT GROUP LTD.,Property Owner,315-Apartment - Condominium
PRBS202500056,Basement Development,2025-01-27 00:00:00,Residential,Alteration and improvements,16956,0,,,"169 N ST JOHN STREET, REGINA, SK S4R2V8",Address,North Annex,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRBS202500108,Basement Development,2025-01-27 00:00:00,Residential,Alteration and improvements,56827,0,,,"3719 E CORMORANT DRIVE, REGINA, SK S4N7S4",Address,Parkridge,HOPE CONSTRUCTION,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500182,Foundation Repair,2025-01-27 00:00:00,Residential,Alteration and improvements,3600,0,0,,"23 BOTHWELL CRESCENT, REGINA, SK S4R5Y7",Address,Uplands,AAA Solid Foundation,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402305,Renovation/Alteration,2025-01-27 00:00:00,Commercial,Alteration and improvements,300000,0,,,"3025 MCDONALD STREET, REGINA, SK **",Address,Douglas Place,CITY OF REGINA,Property Owner,"562-Outdoor recreational building, golf buildings, ski hut, swimming pool"
PRRN202402735,Renovation/Alteration,2025-01-27 00:00:00,Commercial,Alteration and improvements,650000,0,0,,"1531 1ST AVENUE, REGINA, SK S4R8H2",Address,Industrial Park,MCNAUGHTON JAMIE N - CCRConstruction,Contractor,"572-Service station, repair garage and specialty shop; gasoline station, se"
PRRN202500132,Renovation/Alteration,2025-01-27 00:00:00,Residential,Alteration and improvements,10000,0,,,"51 DAFFODIL CRESCENT, REGINA, SK S4S5A2",Address,Whitmore Park,,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202500151,Renovation/Alteration,2025-01-27 00:00:00,Commercial,Alteration and improvements,20000,0,,,"1301 FLEURY STREET, REGINA, SK S4N7N5",Address,Innismore,T/K CONCRETE,Contractor,"460-Storage building; warehouse (for storage purposes only), industrial mal"
PRTN202500096,Tent / Temporary Structure,2025-01-27 00:00:00,Institutional,Other,15000,,,,"2405 LEGISLATIVE DRIVE, REGINA, SK S4S0B3",Address,Wascana Park,Special Events Rentals - Karson,Contractor,Not Applicable
PRBS202500183,Basement Development,2025-01-28 00:00:00,Residential,Alteration and improvements,12000,0,0,,"5432 E BOYER BAY, REGINA, SK S4V3P2",Address,The Greens on Gardiner,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500140,Foundation Repair,2025-01-28 00:00:00,Residential,Alteration and improvements,51500,0,0,,"3409 29TH AVENUE, REGINA, SK S4S2P4",Address,Parliament Place,Creek Construction - Reza Shirazi,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500187,Foundation Repair,2025-01-28 00:00:00,Residential,Alteration and improvements,2500,0,,,"99 HOUSTON ROAD, REGINA, SK S4V0G3",Address,University Park,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402148,Renovation/Alteration,2025-01-28 00:00:00,Commercial,Alteration and improvements,2000000,29,4,,"1827 ALBERT STREET, REGINA, SK S4P2S9",Address,Old 33,D.R. ANDERSON HOLDINGS INC.,Property Owner,315-Apartment - Condominium
PRRN202403101,Renovation/Alteration,2025-01-28 00:00:00,Commercial,Alteration and improvements,500000,0,,,"2445 ALBERT STREET, REGINA, SK S4P4W7",Address,Wascana Park,SASKATCHEWAN PROPERTY MANAGEMENT CORPORATION,Property Owner,"550-Theatre and performing art center; movie theatre, concert hall, opera h"
PRSS202401545,Secondary Suite,2025-01-28 00:00:00,Residential,Addition to existing building commercial & residential,24000,1,,,"2908 TROMBLEY STREET, REGINA, SK *",Address,The Towns,Resasca Builder,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRSS202403123,Secondary Suite,2025-01-28 00:00:00,Residential,Alteration and improvements,25000,1,,,"4417 E KELLER AVENUE, REGINA, SK S4V3R3",Address,The Towns,,Property Owner,"210-Semi-Detached or Double House, single attached home"
PRSS202500127,Secondary Suite,2025-01-28 00:00:00,Residential,Alteration,34997,1,,,"2964 TROMBLEY STREET, REGINA, SK *",Address,The Towns,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202500189,Demolition,2025-01-29 00:00:00,Residential,Demolition,13956.03,0,0,1,"1413 RAE STREET, REGINA, SK S4T2C6",Address,Old 33,First Choice Excavation & Demolition,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRDE202500192,Demolition,2025-01-29 00:00:00,Residential,Demolition,29300,0,0,1,"1543 ELPHINSTONE STREET, REGINA, SK S4T3M9",Address,Old 33,,Property Owner,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRFR202500130,Foundation Repair,2025-01-29 00:00:00,Residential,Alteration and improvements,17000,0,,,"260 LOGAN CRESCENT, REGINA, SK S4S5P9",Address,Whitmore Park,JS GROUP OF COMPANIES,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRRN202402911,Renovation/Alteration,2025-01-29 00:00:00,Commercial,Alteration and improvements,500000,0,1,,3750 CHUKA BOULEVARD,Address,The Greens on Gardiner,,Contractor,"540-Restaurant, bar, tavern, night club, diner, donut shop"
PRSF202500015,Single/Semi-Detached Dwelling 1-2 units,2025-01-29 00:00:00,Residential,New construction,450400,1,2,,"5421 E NICHOLSON AVENUE, REGINA, SK *",Address,The Towns,Homes by Dream,Contractor,"110-Single House, single detached home, bungalow, linked home (linked at fo"
PRTN202500100,Tent / Temporary Structure,2025-01-29 00:00:00,Commercial,Other,0,,,,"2190 VICTORIA AVENUE, REGINA, SK **",Address,Old 33,A1-Rent Alls - Desiree Wright,Contractor,Not Applicable
PRMU202500049,Multi-Unit Dwelling 3+ Units,2025-01-30 00:00:00,Residential,New construction,482790,3,2,,"2981, 2985, 2989 WELBY WAY, REGINA, SK S4V4A2",Address,The Towns,Rohit Communities Inc.,Contractor,"330-Row House, garden home, town house, carriage home, quadrex"
